Name,Sex,Event,Equipment,Division,WeightClassKg,Squat1Kg,Bench1Kg,Deadlift1Kg,ProjectedTotal
Piotr Gurba,M,SBD,Raw,Seniorzy,66,110.0,70.0,140.0,320.0
Ronald Walker,M,SBD,Single-ply,Open,83,150.0,120.0,202.5,472.5
Jonathan Webb,M,SBD,Single-ply,M-T1,93,107.5,-77.5,102.5,132.5
Sven Winther Von Der Lippe,M,SBD,Raw,Open,110,195.0,175.0,250.0,620.0
Mert Ferdi Kar,M,SBD,Raw,Open,83,205.0,122.5,222.5,550.0
Viktor Samúelsson,M,SBD,Single-ply,Juniors,120,350.0,295.0,305.0,950.0
Brad McGee,M,SBD,Single-ply,Open,110,80.0,40.0,80.0,200.0
Dominik Kováčik,M,SBD,Raw,Dorastenci,74,135.0,77.5,145.0,357.5
Nadezhda Bobrova,F,SBD,Raw,Open,52,55.0,40.0,55.0,150.0
Kevin Miller #4,M,SBD,Single-ply,M-V,56,140.0,90.0,162.5,392.5
Charlotte MacPherson,F,SBD,Raw,FR-O,63,157.5,90.0,185.0,432.5
Trevor Nelson,M,SBD,Raw,MR-O,83,165.0,112.5,227.5,505.0
Anthony Weber,M,SBD,Raw,MR-M1,120,157.5,102.5,220.0,480.0
David Lodahl,M,SBD,Single-ply,M-O,93,145.0,107.5,200.0,452.5
Sametcan Uluer,M,SBD,Raw,MR-O,74,157.5,110.0,180.0,447.5
Charif Rabah,M,SBD,Raw,Open,105,180.0,155.0,200.0,535.0
Sophie Ratajczyk,F,SBD,Raw,FR-T2,63,87.5,45.0,105.0,237.5
Rosie Geller-Stevens,F,SBD,Raw,F-C-Open,57,102.5,52.5,115.0,270.0
Jesús Daniel Prieto Freire,M,SBD,Raw,M1,120+,317.5,190.0,300.0,807.5
Scott Hill #1,M,SBD,Raw,Open,93,242.5,167.5,257.5,667.5
Johannes Haugan Lyngedal,M,SBD,Raw,Juniors 19-23,93,215.0,135.0,262.5,612.5
Beniamin Zabłocki,M,SBD,Single-ply,Juniorzy do lat 23,93,-140.0,125.0,180.0,165.0
Danielle Sweeney,F,SBD,Raw,FR-Jr,63,72.5,50.0,105.0,227.5
Mridula Agarwal,F,SBD,Single-ply,Masters 2,56,70.0,40.0,85.0,195.0
Madeleine Reynolds,F,SBD,Raw,FR-Jr,76,117.5,57.5,135.0,310.0
Olga Kuzmina,F,SBD,Raw,Sub-Juniors,84+,195.0,-100.0,175.0,270.0
Rajiv Indarjeet,M,SBD,Raw,M-O-U,66,107.5,60.0,152.5,320.0
Tony Wilkinson,M,SBD,Raw,SO,83,75.0,62.5,110.0,247.5
Jamie Ballantyne,M,SBD,Raw,M-C-U23,83,105.0,80.0,145.0,330.0
Fillip S Oddersborg,M,SBD,Raw,Open,74,95.0,100.0,110.0,305.0
Marvin Madang Gau,M,SBD,Raw,Men's Raw Open,93,190.0,117.5,227.5,535.0
Laddie Gibson,M,SBD,Single-ply,M-M1a,82.5,250.0,-187.5,227.5,290.0
Nejc Graj,M,SBD,Raw,O,74,135.0,70.0,165.0,370.0
Lukas Steffelbauer,M,SBD,Raw,Open,93,190.0,125.0,210.0,525.0
Felix Hu,M,SBD,Raw,Open,105,-200.0,137.5,260.0,197.5
Vladislav Storozhuk,M,SBD,Single-ply,Juniors,75,200.0,105.0,220.0,525.0
Olivia Hardingham,F,SBD,Raw,FR-O,63,142.5,57.5,145.0,345.0
Thea Lindam,F,SBD,Raw,Open,57,105.0,65.0,115.0,285.0
